一,一
丁,一弓
七,十山
下,一卜
丌,一中
丈,十大
万,一尸
三,一一一
上,卜一
丐,一卜女尸
丏,一中女尸
与,卜尸一
不,一火
丑,弓土
丙,一人月
世,心廿
丘,人一
丕,一火一
且,月一
丞,弓水一
丟,竹土戈
並,廿廿金
丫,金中
丰,手十
中,中
丱,女中中中一
串,中中
丳,中中田田
褁,田木竹女
丸,大弓戈
丹,月卜
主,卜土
丼,廿廿戈
乂,大
乃,弓竹尸
么,竹戈
乇,竹心
久,弓人
之,戈弓人
乎,竹火木
乏,竹戈弓人
乍,竹尸
乒,人一竹
乓,人一戈
乖,竹十中心
乘,竹木中心
乙,弓山
乜,心弓
九,大弓
乞,人弓
也,心木
丮,弓手
乩,卜口山
乳,月木山
乾,十十人弓
乿,月火山
亂,月月山
亄,土廿山
亃,火手山
了,弓弓
予,弓戈弓弓
事,十中中弓
二,一一
亍,一一弓
于,一木
井,廿廿
互,一女弓一
云,一一戈
五,一木一
亓,一一中
亙,一月一
些,卜心一一
亟,一水一
亞,一中中一
亡,卜女
亢,卜竹弓
亥,卜女竹人
交,卜金大
亦,卜中弓金
亨,卜口弓弓
京,卜口火
享,卜口弓木
亮,卜口月山
亭,卜口月弓
亳,卜口月心
亶,卜田口一
亹,卜竹月一
人,人
今,人戈弓
什,人十
仁,人一一
介,人中中
仃,人一弓
仈,人金
仂,人大尸
仇,人大弓
仄,一人
仆,人卜
仍,人弓竹尸
仉,人竹弓
仗,人十大
仨,人一一一
他,人心木
仡,人人弓
仔,人弓木
仜,人一
仚,人山
令,人戈弓戈
付,人木戈
以,女戈人
仩,人卜一
仝,人一
代,人戈心
仕,人土
仙,人山
仟,人竹十
仞,人尸竹戈
伍,人一木一
伕,人手人
伢,人一女竹
伒,人竹一中
仿,人卜竹尸
伙,人火
伐,人戈
伈,人心
仳,人心心
件,人竹手
价,人人中中
伎,人十水
仵,人人十
伉,人卜竹弓
伀,人金戈
伔,人月竹山
伝,人一一戈
伂,人十月
伅,人心山
伓,人一火
伬,人尸人
伄,人弓中
仴,人月
伋,人弓竹水
优,人戈大山
仱,人人戈弓
伊,人尸大
任,人竹土
仲,人中
仰,人竹女中
休,人木
伏,人戈大
份,人金尸竹
企,人卜中一
佣,人月手
佁,人戈口
伾,人一火一
余,人一木
佑,人大口
佘,人一一火
伽,人大尸口
佒,人中月大
佧,人卜一卜
佝,人心口
伶,人人戈戈
估,人十口
佢,人尸尸
何,人一弓口
佤,人一女弓
佞,人一一女
你,人弓火
伭,人卜女戈
佚,人竹手人
伸,人中田中
佉,人土戈
佐,人大一
佖,人心竹
作,人竹尸
佇,人十一弓
佡,人人山
伿,人口金
佈,人大中月
住,人卜土
伻,人一火十
伺,人尸一口
佔,人卜口
似,人女戈人
伴,人火手
位,人卜廿
但,人日一
佗,人十心
伯,人竹日
体,人木一
佛,人中中弓
佃,人田
佟,人竹水卜
低,人竹心一
伳,人心廿
侉,人大一尸
佰,人一日
佽,人戈一人
佯,人廿手
侖,人一月廿
着,廿手月山
侀,人一廿弓
佷,人日女
佾,人金月
來,木人人
佌,人卜一心
侈,人弓戈弓
侃,人口竹山
佫,人竹水口
佮,人人一口
併,人廿廿
侇,人大弓
侕,人一月中
侒,人十女
侞,人女口
侘,人十竹心
佴,人尸十
侏,人竹十木
依,人卜竹女
例,人一弓弓
侐,人竹月廿
佳,人土土
侜,人竹月卜
侄,人一戈土
佼,人卜金大
侚,人心日
侑,人大月
侗,人月一口
佩,人竹弓月
佪,人田口
佺,人人一土
佶,人土口
侁,人竹土山
侂,人戈竹心
侅,人卜女人
侍,人土木戈
佹,人弓一山
佸,人竹十口
佬,人十大心
供,人廿金
使,人十中大
侔,人戈竹手
佻,人中一人
俐,人竹木弓
侹,人弓大土
俑,人弓戈月
俬,人竹木戈
信,人卜一口
俁,人口女大
俞,人一月弓
俀,人月女
侻,人金口山
俜,人中田尸
俍,人戈日女
俚,人田土
俗,人金人口
侮,人人田卜
俎,人人月一
俟,人戈人大
俊,人戈金水
俉,人一一口
俅,人戈十水
侺,人山人弓
俄,人竹手戈
侲,人一一女
俖,人一火口
侶,人口竹口
俇,人大竹土
侳,人人人土
俋,人口日山
俘,人月弓木
促,人口卜人
俙,人大大月
侷,人尸尸口
侯,人弓一大
係,人竹女火
俛,人弓日山
俠,人大人人
俓,人一女一
俏,人火月
侵,人尸一水
便,人一中大
俔,人月山山
保,人口木
倪,人竹難山
修,人中人竹
倌,人十口口
俾,人竹竹十
倠,人人土
俸,人手大手
倎,人廿月金
倩,人手一月
俯,人戈人戈
俱,人月一金
倍,人卜廿口
倞,人卜口火
倨,人尸十口
倡,人日日
倷,人大一火
個,人田十口
俳,人中一卜
倗,人月月
們,人日弓
倰,人土金水
倱,人日心心
借,人廿日
倉,人戈日口
倀,人尸一女
倬,人卜日十
倳,人十中弓
倧,人十一火
值,人十月一
倢,人十中人
倅,人卜人十
俵,人手一女
俶,人卜火水
倭,人竹木女
倓,人火火
倜,人月土口
倯,人木金戈
倣,人卜尸大
倵,人一心一
俷,人月日山
倘,人火月口
倒,人一土弓
俴,人戈戈
倫,人人一月
倚,人大一口
俺,人大中山
倔,人尸山山
倇,人十弓山
倦,人火手山
倥,人十金一
倆,人一中月
倛,人廿一金
倖,人土廿十
候,人中弓大
偉,人木一手
假,人口卜水
偍,人日一人
偵,人卜月金
偕,人心心日
偈,人日心女
偯,人卜口女
偢,人竹木火
偁,人月土月
做,人十口大
偫,人竹人戈
偷,人人一弓
倕,人竹十一
偟,人竹日土
偰,人手竹大
偎,人田一女
側,人月金弓
倏,人中人大
偩,人弓月金
偳,人山一月
偌,人廿大口
停,人卜口弓
偲,人田心
偊,人竹中月
偡,人廿一女
偠,人一田女
偶,人田中月
偛,人竹十難
偽,人戈大火
偅,人竹十土
偣,人卜廿日
偮,人口尸十
偗,人火竹山
偑,人竹弓戈
偞,人心廿木
偭,人一田中
偀,人廿中大
偃,人尸日女
偋,人尸廿廿
偆,人手大日
偓,人尸一土
偏,人竹尸月
偤,人廿金田
健,人弓大手
偝,人中心月
偺,人竹人日
偪,人一口田
偨,人卜心木
傋,人廿廿月
傇,人廿尸十
傀,人竹戈
傎,人十月金
傔,人廿難金
傞,人廿手一
傍,人卜月尸
傣,人手大水
傜,人月人山
傂,人竹卜山
傖,人人戈口
傛,人十金口
備,人廿竹月
傝,人日尸一
傅,人戈月戈
傢,人十一人
傘,人人人十
傃,人手一火
傚,人卜大大
傑,人弓手木
傒,人月女大
傌,人尸手火
傕,人人月土
傽,人卜廿十
僅,人廿中一
傺,人月人火
僆,人卜十十
傸,人大大大
僈,人日田水
傮,人廿田日
僊,人一田山
僇,人尸一竹
僉,人一口人
傴,人尸口口
傲,人土尸大
傿,人一卜火
傭,人戈中月
傶,人戈竹火
催,人山人土
傰,人山月月
僁,人竹木心
傯,人竹田心
僄,人一田火
傳,人十戈戈
傻,人竹金水
傷,人人日竹
傾,人心一金
僋,人人戈金
債,人手一金
傱,人竹人人
僂,人中田女
僱,人竹尸土
僔,人廿田戈
僓,人中一金
僖,人土口口
僠,人竹木田
僳,人一田木
僣,人手人日
僯,人火木手
僕,人廿金人
僚,人大金火
僰,木月人
僮,人卜廿土
僗,人火火尸
僪,人弓竹月
僑,人竹大月
僥,人土土山
僨,人十廿金
僤,人口口十
僭,人一山日
僩,人日弓月
僧,人金田日
僛,人廿金人
僬,人人土火
僎,人口山金
僦,人卜火山
僝,人尸弓木
像,人弓日人
儂,人廿田女
僾,人月月水
儊,人木木人
僶,人口難山
儃,人卜田一
儅,人火月田
儌,人竹尸大
僵,人一田一
儈,人人一日
僿,人十廿土
儋,人弓金口
僽,人竹火心
儇,人田中女
價,人一田金
億,人卜廿心
儆,人廿口大
僸,人木木火
儀,人廿土戈
僻,人尸口十
儉,人人一人
儔,人土弓戈
儗,人心大人
儘,人中一廿
儚,人廿田弓
儑,人日女火
儐,人十一金
儓,人土口土
儜,人十心弓
儒,人一月月
儕,人卜難
儦,人戈心火
儥,人土田金
償,人火月金
儩,人月金竹
儠,人女女女
儤,人日廿水
優,人一月水
儢,人卜心心
儲,人卜口日
儡,人田田田
儭,人卜木山
儰,人廿戈火
儱,人卜月心
儮,人一木一
儴,人卜口女
儵,人中人火
儳,人弓口戈
儹,人竹山金
儷,人一一心
儺,人廿人土
儸,人田中土
儼,人口口大
儻,人火月火
儽,人田田火
儿,中山
兀,一山
兀,一山
允,戈竹山
元,一一山
充,卜戈竹山
兄,口竹山
兇,山大竹山
光,火一山
兆,中一山人
先,竹土竹山
克,十口竹山
兌,金口竹山
免,弓日竹山
兒,竹難竹山
兔,弓山戈
兕,尸山竹山
兗,卜金口竹山
党,火月口竹山
兜,竹女竹山
兟,竹山竹土山
兢,十山十口山
入,人竹
內,人月
屳,人山
全,人一土
兩,一中月人
八,竹人
六,卜金
兮,金一女尸
公,金戈
共,廿金
