一,jat1
丁,zaang1
丁,zang1
丁,ding1
七,cat1
下,haa5
下,haa6
丌,gei1
丌,kei4
丈,zoeng6
万,maak6
万,maan6
万,mak6
三,saam1
三,saam3
上,soeng5
上,soeng6
丐,goi3
丐,koi3
丏,min5
与,jyu4
与,jyu5
与,jyu6
不,bat1
不,fau2
丑,cau2
丙,bing2
世,sai3
丘,jau1
丕,pei1
且,ce2
且,ceoi1
且,ceoi2
且,zeoi1
且,cou4
丞,cing2
丞,sing4
丟,diu1
並,bing3
並,bing6
丫,aa1
丫,ngaa1
丰,fung1
中,zung1
中,zung3
丱,gwaan3
串,gwaan3
串,cyun3
丳,caan2
褁,gwo2
丸,jyun2
丸,jyun4
丹,daan1
主,zyu2
丼,dam2
丼,zing2
乂,ngaai6
乃,naai5
乃,oi2
么,maa1
么,jiu1
么,mo1
乇,zaak6
乇,tok3
久,gau2
之,zi1
乎,fu1
乎,fu4
乎,wu4
乏,fat6
乍,zaa3
乍,zaa6
乒,bing1
乒,ping1
乓,bam1
乓,pong1
乖,gwaai1
乘,sing4
乘,sing6
乙,jyut3
乙,jyut6
乜,mat1
乜,me1
乜,me2
乜,me5
乜,ne6
九,gau2
乞,hat1
乞,hei3
也,jaa5
丮,gik1
乩,gei1
乳,jyu5
乾,kin4
乾,gon1
乿,zi6
亂,lyun6
亄,ji3
亃,leon6
了,laa1
了,liu4
了,liu5
予,jyu4
予,jyu5
事,si6
二,ji6
亍,cuk1
于,jyu1
于,jyu4
井,zeng2
井,zing2
互,wu6
云,wan4
五,ng5
亓,kei4
亙,gang2
些,sai3
些,se1
些,so1
些,so3
亟,kei3
亟,gik1
亞,aa3
亞,ngaa3
亡,mong1
亡,mong4
亡,mou4
亢,gong1
亢,kong3
亥,hoi6
交,gaau1
亦,jik6
亨,paang1
亨,hang1
亨,hoeng2
京,ging1
京,jyun4
享,hoeng2
亮,loeng6
亭,ting4
亳,bok3
亳,bok6
亶,daan6
亶,taan2
亶,sin4
亶,sin6
亹,mei5
亹,mun4
人,jan4
今,gam1
什,zaap6
什,sam6
什,sap6
仁,jan4
介,gaa3
介,gaai3
仃,ding1
仈,baat3
仂,lak6
仂,lik6
仇,cau4
仇,kau4
仇,sau4
仄,zak1
仆,fu6
仆,buk6
仆,puk1
仍,jing4
仉,zoeng2
仗,zoeng3
仗,zoeng6
仨,saam1
他,taa1
他,to1
仡,gat1
仡,hat1
仡,ngat6
仡,go1
仔,zai2
仔,zi1
仔,zi2
仜,hung4
仚,hin1
令,lim1
令,ling1
令,ling4
令,ling5
令,ling6
付,fu6
以,ji5
仩,coeng4
仝,tung4
代,doi6
仕,si6
仙,sin1
仟,cin1
仞,jan6
伍,ng5
伕,fu1
伢,ngaa4
伒,gan3
仿,fong2
仿,pong4
伙,fo2
伐,fat6
伈,sam2
仳,pei2
件,gin6
价,gaa3
价,gaai3
伎,gei6
伎,kei4
仵,ng5
伉,kong3
伀,zung1
伔,daam6
伝,wan4
伂,pui3
伅,deon6
伓,pei1
伬,ce2
伄,diu3
仴,jyut6
伋,gap1
伋,kap1
优,jau1
仱,kim4
仱,ging1
伊,ji1
任,jam4
任,jam6
仲,zung6
仰,joeng5
仰,ngong5
休,jau1
休,nau2
休,heoi2
休,jyu3
伏,buk6
伏,fuk6
份,ban1
份,fan6
企,kei2
企,kei5
佣,jung2
佣,jung4
佣,jung6
佁,ci3
佁,ji5
伾,pei1
余,jyu4
佑,jau6
佘,se4
伽,gaa1
伽,ke4
佒,joeng5
佧,kaa1
佝,gau1
佝,kau3
佝,keoi1
伶,ling4
估,gu2
估,gu3
佢,heoi5
佢,keoi5
何,ho4
何,ho6
佤,ngaa5
佞,ning6
你,nei5
伭,jyun4
佚,jat6
佚,dit6
伸,san1
佉,keoi1
佐,zo3
佖,bit1
作,zok3
佇,cyu5
佡,hin1
伿,ji6
伿,zi3
佈,bou3
住,zyu6
伻,paang1
伻,ping1
伺,si6
伺,zi6
佔,cim1
佔,zim1
佔,zim3
似,ci5
伴,bun6
伴,pun5
位,wai2
位,wai6
但,daan6
佗,taa1
佗,to1
佗,to4
伯,baa3
伯,baak3
体,tai2
体,ban6
佛,bat6
佛,fat1
佛,fat6
佃,din6
佃,tin4
佟,tung4
低,dai1
伳,sit3
侉,kwaa1
侉,kwaa2
佰,baak3
佰,mak6
佽,ci3
佯,joeng4
侖,leon4
侀,jing4
佷,han2
佾,jat6
來,lai4
來,loi4
來,loi6
佌,ci2
侈,ci2
侃,hon2
侃,hon3
佫,gaak3
佫,hok6
佮,daap6
佮,gap3
併,bing3
併,bing6
併,ping3
侇,ji4
侕,ji4
侒,on1
侞,jyu4
侘,caa3
佴,naai6
佴,ji5
佴,ji6
佴,noi6
侏,zyu1
依,ji1
例,lai6
侐,gwik1
侐,kwik1
佳,gaai1
侜,zau1
侄,zat1
侄,zat6
佼,gaau2
侚,seon1
侚,seon6
侑,jau6
侗,dung6
侗,tung2
侗,tung4
佩,pui3
佪,wui4
佺,cyun4
佶,gat1
佶,git3
佶,git6
侁,san1
侂,tok3
侅,goi1
侍,si6
佹,gwai2
佸,wut6
佬,liu4
佬,lou2
佬,lou5
供,gung1
供,gung3
使,sai2
使,si2
使,si3
侔,mau4
佻,tiu1
佻,tiu4
俐,lei6
侹,ting2
侹,ting5
俑,jung2
俑,jung5
俬,si1
信,san1
信,seon3
俁,jyu5
俞,jyu4
俞,jyu6
俞,syu3
俀,teoi2
侻,teoi3
侻,tyut3
俜,ping1
俍,loeng4
俚,lei5
俗,zuk6
侮,mou5
俎,zo2
俟,kei4
俟,zi6
俊,zeon3
俉,ng6
俅,kau4
侺,sam4
俄,ngo4
侲,zan3
俖,poi2
俖,pui5
侶,leoi5
俇,gwaang6
俇,hong1
侳,co3
侳,zo6
俋,jap1
俘,fu1
促,cuk1
俙,hei1
侷,guk6
侯,hau4
係,hai6
俛,min5
俛,fu2
俠,haap6
俠,hap6
俓,ging3
俏,ciu3
侵,cam1
便,bin2
便,bin6
便,pin4
俔,jin5
俔,jin6
保,bou2
倪,ngai4
倪,ngai6
修,sau1
倌,gun1
俾,pai3
俾,bei2
倠,seoi1
俸,fung2
俸,fung6
倎,tin2
倩,sin3
倩,sin6
倩,cing3
俯,fu2
俱,geoi1
俱,keoi1
倍,bui3
倍,pui5
倞,ging6
倞,loeng6
倨,geoi3
倡,coeng1
倡,coeng3
倷,noi6
個,go3
俳,paai4
倗,pang4
們,mun4
倰,ling4
倰,ling6
倱,wan6
借,ze3
倉,cong1
倀,caang1
倀,caang4
倀,zan3
倀,coeng1
倬,coek3
倬,zoek3
倳,zi3
倳,zi6
倧,zung1
值,zik6
倢,zip3
倢,zit3
倢,zit6
倅,ceoi3
倅,zeot1
俵,biu2
俵,biu3
俶,tik1
俶,cuk1
倭,wai1
倭,wai2
倭,wo1
倭,wo2
倓,daam6
倓,taam4
倜,tik1
倯,sung1
倣,fong2
倵,mou5
俷,fai3
倘,soeng4
倘,tong2
倒,dou2
倒,dou3
俴,cin5
倫,leon4
倚,kei1
倚,ji2
俺,aan2
俺,jim3
倔,gwat6
倇,jyun2
倦,gyun6
倥,hung1
倥,hung2
倥,hung3
倆,loeng5
倛,hei1
倖,hang6
候,hau6
偉,wai5
假,gaa2
假,gaa3
偍,tai4
偵,zing1
偕,gaai1
偕,haai4
偈,gai2
偈,gai6
偈,git6
偯,ji2
偢,cau2
偢,ciu2
偁,can3
偁,cing1
偁,cing3
做,zou6
偫,ci5
偫,zi6
偷,tau1
倕,seoi4
偟,wong4
偰,sit3
偎,wui1
側,zak1
倏,suk1
偩,fu6
偳,zeoi3
偌,je6
停,ting4
偲,caai1
偲,si1
偲,soi1
偊,geoi2
偊,jyu2
偊,jyu5
偡,zaam3
偠,jiu2
偠,jiu5
偶,ngau5
偛,zaap3
偽,ngai6
偅,zung3
偣,jim1
偮,zap1
偗,saang2
偑,fung1
偞,jip6
偭,min5
偭,min6
偀,jing1
偃,jim2
偃,jin2
偋,bing2
偆,ceon2
偓,ak1
偓,ngak1
偏,pin1
偤,jau4
健,gin6
偝,bui3
偝,bui6
偺,zaa1
偪,bik1
偨,ci1
偨,zi1
傋,gau3
傋,gong2
傇,jung5
傀,faai3
傀,gwai1
傎,din1
傔,him3
傞,co1
傞,so1
傍,bong6
傍,pong4
傣,daai2
傣,taai3
傜,jiu4
傂,zi6
傖,caang1
傖,cam2
傖,cong1
傛,jung4
傛,jung6
備,bei6
傝,taap3
傅,fu1
傅,fu6
傢,gaa1
傘,saan3
傃,sou3
傚,haau6
傑,git6
傒,hai4
傒,hai6
傌,maa6
傕,gok3
傽,zoeng1
僅,gan2
僅,gan6
傺,cai3
僆,lin5
傸,cong2
僈,maan6
傮,cou4
傮,zou1
僊,sin1
僇,luk6
僉,cim1
傴,jyu2
傲,ngou6
傿,jin1
傭,cung1
傭,jung2
傭,jung4
傶,cau3
催,ceoi1
傰,bang1
傰,pang4
僁,sat1
僁,seot1
僁,sit3
傯,zung2
傯,zung3
僄,piu1
僄,piu3
僄,piu5
傳,cyun4
傳,zyun3
傳,zyun6
傻,so4
傷,soeng1
傾,king1
僋,taam2
僋,taam3
債,zaai3
傱,sung2
僂,lau4
僂,leoi5
僱,gu3
僔,zyun2
僓,teoi4
僖,hei1
僠,bo1
僳,suk1
僣,zim3
僯,leon5
僯,leon6
僕,buk6
僚,liu4
僚,liu5
僚,lou5
僰,baak6
僰,bat6
僰,bok3
僮,zong3
僮,zong6
僮,tung4
僗,lou4
僪,jyut6
僪,kyut3
僑,kiu4
僥,giu1
僥,giu2
僥,hiu1
僥,jiu4
僨,fan3
僨,fan5
僤,daan6
僭,cim3
僭,cim5
僭,zim3
僩,haan5
僧,sang1
僧,zang1
僛,hei1
僬,ziu1
僬,ziu3
僎,zaan6
僎,zeon1
僎,zyun1
僦,zau3
僦,zau6
僝,saan4
僝,zaan6
像,zoeng6
儂,nung4
僾,oi3
僾,ngoi3
儊,co2
僶,man5
儃,taan2
儃,sin4
儃,zin1
儅,dong1
儅,dong3
儌,giu1
儌,giu2
儌,hiu1
僵,goeng1
儈,kui2
儈,kui3
僿,sai3
僿,si1
儋,daam1
儋,daam3
僽,zau3
僽,zau6
儇,hyun1
價,gaa3
億,jik1
儆,ging2
僸,gam3
儀,ji4
僻,pik1
僻,bui6
儉,gim6
儔,cau4
儗,ji5
儗,ji6
儘,zeon2
儚,mung4
儑,ngaam4
儐,ban1
儐,ban3
儓,toi4
儜,nang4
儜,ning4
儒,jyu4
儕,caai4
儦,biu1
儥,dik6
儥,duk6
儥,juk6
償,soeng4
儩,ci3
儩,si3
儠,lip6
儤,bou3
優,jau1
儢,leoi5
儲,cyu1
儲,cyu4
儲,cyu5
儡,leoi5
儭,can3
儰,wai5
儱,lung5
儮,lik6
儴,joeng4
儵,suk1
儳,caam3
儳,caam4
儳,zaam6
儹,zaan2
儹,zyun2
儷,lai6
儺,no4
儸,lo4
儼,jim5
儻,tong2
儽,leoi4
儽,leoi5
儿,ngai4
儿,jan4
儿,ji4
兀,ngat6
兀,ngat6
允,wan5
允,jyun4
元,jyun4
充,cung1
兄,hing1
兄,fong3
兇,hung1
光,gwong1
兆,siu6
先,sin1
先,sin3
克,haak1
克,hak1
兌,deoi3
兌,deoi6
兌,jeoi6
免,man6
免,min5
兒,ngai4
兒,ji4
兔,tou3
兕,ci5
兕,zi3
兕,zi6
兗,jin2
兗,jin5
党,dong2
兜,dau1
兟,san1
兢,ging1
入,jap6
內,naap6
內,noi6
屳,sin1
全,cyun4
兩,loeng2
兩,loeng5
兩,loeng6
八,baat3
六,luk6
兮,hai4
公,gung1
共,gung1
共,gung2
共,gung6
弚,teoi4
兵,bing1
具,geoi6
其,gei1
其,gei6
其,kei4
典,din2
兼,gim1
冀,gei3
冀,kei3
冇,mo5
冇,mou5
冊,caak3
冉,jim5
再,zoi3
冏,gwing2
冑,zau6
冒,mak6
冒,mou6
冔,heoi2
冓,gau3
冓,kau3
冕,min5
冘,jam4
冘,jau4
冗,jung2
冗,jung5
冞,mei4
冠,gun1
冠,gun3
冢,cung2
冤,jyun1
冥,ming4
